Week,Display,Search,Units Sold
1/1/17,2723635,4614833,3440
1/8/17,2719071,1832516,1254
1/15/17,5398988,763993,652
1/22/17,5209807,542857,1055
1/29/17,4483096,639760,1121
2/5/17,4451977,616106,1091
2/12/17,3865913,989166,1122
2/19/17,3547897,1113230,1245
2/26/17,3582045,1890616,1138
3/5/17,5187759,2015482,1418
3/12/17,7864030,742720,1843
3/19/17,8665074,406526,3624
3/26/17,9756843,451304,3071
4/2/17,5342306,431598,2601
4/9/17,5337719,698717,2037
4/16/17,5166656,782118,1603
4/23/17,3556875,3315097,2539
4/30/17,2981647,3938704,3635
5/7/17,3389556,4418965,4641
5/14/17,1939181,2997756,2368
5/21/17,1021790,2377910,1845
5/28/17,2414295,3484129,2630
6/4/17,1636971,5428074,3196
6/11/17,1177885,5522686,3231
6/18/17,3463219,7335245,3423
6/25/17,7638303,8087614,3618
7/2/17,7124921,4879671,3474
7/9/17,20559306,7525886,6327
7/16/17,404,5435898,3863
7/23/17,77,5645473,3783
7/30/17,3823356,5872327,4149
8/6/17,5852735,4054254,2572
8/13/17,6025021,2972839,2502
8/20/17,6641737,2876506,3261
8/27/17,6527414,2610371,3201
9/3/17,6994385,2447860,3686
9/10/17,5454284,2058078,3659
9/17/17,5140794,1704685,3915
9/24/17,8913348,1454025,3652
10/1/17,6271076,1754479,3833
10/8/17,9581878,1325966,4469
10/15/17,8089353,1431587,4682
10/22/17,11137464,1579459,4523
10/29/17,6153876,1842251,5494
11/5/17,4370958,2011538,6041
11/12/17,7134668,2795867,8505
11/19/17,14820685,4793901,18115
11/26/17,16232224,5468949,30333
12/3/17,13775631,7422681,40962
12/10/17,15270627,13733913,59304
12/17/17,12309099,14239973,40344
12/24/17,12427858,5898777,12790
12/31/17,713232,671030,631